Horodatage,Température (°C),Humidité (%),Pression (hPa),Vitesse Vent (m/s),Direction Vent (°),Rafale Vent (m/s),Direction Rafale (°),Taux de pluie (mm/h),Batterie (volts),statut de la température,statut du LOG,statut du WSS,statut du GPS
2025-05-09 10:15:41,22.6,34.7,1010.3,0.0,262.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:42,22.6,34.7,1010.3,0.0,262.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:42,22.6,34.7,1010.3,0.0,262.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:42,22.6,34.7,1010.3,0.0,262.3,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:43,22.6,34.7,1010.3,0.0,262.3,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:43,22.5,34.6,1010.3,0.0,262.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:44,22.5,34.6,1010.3,0.0,262.4,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:44,22.5,34.6,1010.3,0.0,262.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:44,22.5,34.7,1010.3,0.0,262.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:45,22.5,34.7,1010.3,0.0,262.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:45,22.5,34.7,1010.3,0.0,262.5,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:45,22.5,34.7,1010.3,0.0,262.5,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:46,22.6,34.6,1010.3,0.0,262.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:46,22.6,34.6,1010.3,0.0,262.5,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:47,22.6,34.6,1010.3,0.0,262.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:47,22.6,34.6,1010.3,0.0,262.5,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:47,22.5,34.7,1010.3,0.0,262.4,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:48,22.5,34.7,1010.3,0.0,262.4,0.0,0.0,0.0,12.529,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
2025-05-09 10:15:48,22.5,34.7,1010.3,0.0,262.4,0.0,0.0,0.0,12.553,senseur pour TPH connecté,senseur pour LOG connecté,senseur pour WSS connecté,senseur pour GPS connecté
